Date,TradingMember,WorksFor,ClientCode,OwnsSymbol,Security,ISIN,Volume,BuyOrSell,SellPrice,BuyPrice,SellPricePerShare,BuyPricePerShare,DealerUserId,DealerUserName
02/26/2020,Tanooj Shah,HDFC,5,Flipkart,BSE,704844152946,1600,Sell,21728.0,140976.0,13.58,88.11,QVWBYA,zssbhini
02/17/2020,Tanooj Shah,HDFC,5,DLF,BSE,571832733339,1400,Buy,115696.0,69748.0,82.64,49.82,CTZDEY,tftpxdrw
02/10/2020,Viral Sanghavi,TATA Motors,1,Bombay Dyeing,NSE,606948872432,5900,Sell,478489.99999999994,383559.00000000006,81.1,65.01,UUTNPK,krfsiyce
02/03/2020,Tanooj Shah,HDFC,5,Maruti Suzuki,BSE,805130038897,2300,Buy,167854.0,115897.0,72.98,50.39,VCRRHW,ttkwqrtf
02/02/2020,Viral Sanghavi,TATA Motors,1,Karnataka Bank,BSE,922707657283,1300,Buy,12584.0,21047.0,9.68,16.19,BMNWRM,syqpexds
02/19/2020,Tanooj Shah,HDFC,5,MRF,BSE,801844805308,9900,Buy,704880.0,126620.99999999999,71.2,12.79,RFSKOW,fgclpzlu
02/15/2020,Viral Sanghavi,TATA Motors,1,Zomato,BSE,266207919976,3700,Sell,86062.0,339475.0,23.26,91.75,NBGQES,orvwomoa
03/04/2020,Tanooj Shah,HDFC,5,Indian Oil,NSE,624266789280,7600,Sell,238640.0,717668.0,31.4,94.43,OEWUPU,nwnxoavv
02/12/2020,Deepak Mishra,Cadila,4,Royal Enfield,BSE,851459719809,9700,Sell,705675.0,269369.0,72.75,27.77,RFKLWN,tyhneeur
03/23/2020,Viral Sanghavi,TATA Motors,1,Larsen & Toubro,BSE,622203229143,3100,Buy,278907.0,100781.0,89.97,32.51,TMLEZO,hnfwvvbx
02/23/2020,Deepak Mishra,Cadila,4,Royal Enfield,NSE,665780960485,5800,Sell,165648.0,34220.0,28.56,5.9,ZRDAKW,oaxzdbkj
02/08/2020,Deepak Mishra,Cadila,4,DLF,NSE,23602287529,5500,Sell,385000.0,489720.00000000006,70.0,89.04,MIWRAR,istwlobm
03/16/2020,Deepak Mishra,Cadila,4,Flipkart,NSE,624692049911,4900,Sell,226380.0,127449.00000000001,46.2,26.01,BXDZKJ,lobrhvbl
03/08/2020,Ruby Lobo,Gail,2,Zomato,BSE,595457924784,800,Buy,58408.00000000001,55288.0,73.01,69.11,TYPBGC,wlbkoauz
03/09/2020,Tanooj Shah,HDFC,5,Parle,NSE,374258295145,4000,Buy,360760.0,385120.0,90.19,96.28,MQMYEJ,pbmpumzv
03/15/2020,Tanooj Shah,HDFC,5,Zomato,BSE,444411946807,5900,Sell,585929.0,61419.0,99.31,10.41,GRXYQT,udcjungg
03/27/2020,Viral Sanghavi,TATA Motors,1,Britannia,NSE,204637577790,8700,Sell,181395.0,245340.0,20.85,28.2,GQKVBR,vnujudme
02/17/2020,Tanooj Shah,HDFC,5,Zomato,NSE,936773685325,2300,Sell,96991.0,185357.0,42.17,80.59,MHSLPB,amjlwwgc
02/03/2020,Deepak Mishra,Cadila,4,Indiabulls,BSE,256521387014,8200,Buy,399422.0,497412.0,48.71,60.66,ZADRGH,xakyiwio
02/22/2020,Viral Sanghavi,TATA Motors,1,Larsen & Toubro,BSE,491547476421,6200,Sell,87234.0,601958.0,14.07,97.09,GMPNKS,tnovbizy
02/01/2020,Tanooj Shah,HDFC,5,Suzlon,NSE,922591705,8200,Sell,506842.0,136284.0,61.81,16.62,TMDEAD,uzmozyas
03/12/2020,Deepak Mishra,Cadila,4,Britannia,BSE,453831978457,3700,Buy,70004.0,255669.99999999997,18.92,69.1,HBFXVH,zmocdyhp
02/13/2020,Deepak Mishra,Cadila,4,Maruti Suzuki,BSE,949654003641,5800,Sell,550362.0,229332.0,94.89,39.54,RBQOGV,npnvluya
03/23/2020,Viral Sanghavi,TATA Motors,1,Indiabulls,BSE,302064664582,200,Buy,3240.0,13604.0,16.2,68.02,SBIIKK,edpbfsij
03/16/2020,Viral Sanghavi,TATA Motors,1,Zomato,NSE,556140228245,9800,Buy,914144.0,798602.0,93.28,81.49,BDYSNM,akquaubv
03/20/2020,Viral Sanghavi,TATA Motors,1,HDFC,BSE,306968263045,3000,Sell,22770.0,55590.0,7.59,18.53,WRJKJV,jmttxanz
03/16/2020,Ruby Lobo,Gail,2,Haldirams,NSE,803657887899,9600,Buy,170016.0,24576.0,17.71,2.56,ZNMGLW,ckeexqsl
02/03/2020,Adagatla Mamata,ITC,3,Suzlon,NSE,904903159207,5900,Sell,533950.0,306446.0,90.5,51.94,VXPJXG,uabuwojf
02/09/2020,Ruby Lobo,Gail,2,Gail,BSE,499669204824,8600,Buy,189114.0,215258.0,21.99,25.03,HWZRZF,kkdundgh
03/14/2020,Viral Sanghavi,TATA Motors,1,Zomato,NSE,661246309663,7800,Buy,614406.0,94770.0,78.77,12.15,VGRNMR,hewmrgou
02/02/2020,Deepak Mishra,Cadila,4,Zomato,NSE,378114729586,9700,Sell,780753.0,582.0,80.49,0.06,ZHCTLD,fpwykmtp
03/12/2020,Deepak Mishra,Cadila,4,Reliance,BSE,317151838515,900,Buy,87975.0,60957.0,97.75,67.73,MDJTCT,dzxddrjn
03/03/2020,Viral Sanghavi,TATA Motors,1,Larsen & Toubro,NSE,775334522657,100,Sell,6545.999999999999,1935.0000000000002,65.46,19.35,FKPHNV,lvbydash
02/10/2020,Ruby Lobo,Gail,2,ITC,BSE,268958815513,5200,Buy,485680.00000000006,307528.0,93.4,59.14,CZBMWL,fdnunmfg
02/28/2020,Adagatla Mamata,ITC,3,HDFC,NSE,12246525942,9500,Buy,179740.00000000003,707275.0,18.92,74.45,XSARGD,xjffvvzz
02/28/2020,Adagatla Mamata,ITC,3,Eureka Forbes,NSE,746376663829,1000,Buy,39380.0,15330.0,39.38,15.33,GNHHPV,mhuxardn
02/17/2020,Viral Sanghavi,TATA Motors,1,Zomato,NSE,504112966902,4100,Buy,314593.0,94423.0,76.73,23.03,UCQOSD,drzmpktw
03/27/2020,Adagatla Mamata,ITC,3,TATA Motors,BSE,141032560740,6400,Buy,544000.0,385344.0,85.0,60.21,WQKPNE,zqmoghzf
03/19/2020,Viral Sanghavi,TATA Motors,1,Maruti Suzuki,NSE,427831525070,7500,Sell,56400.0,680550.0,7.52,90.74,JJFKXM,logfzuvt
02/02/2020,Ruby Lobo,Gail,2,Royal Enfield,NSE,587283481767,5800,Sell,499960.0,404782.00000000006,86.2,69.79,SBXUNH,eivzgpwm
02/05/2020,Ruby Lobo,Gail,2,Flipkart,NSE,666099354841,9000,Buy,475830.0,210600.0,52.87,23.4,WFZCMW,xiqhpjor
02/09/2020,Adagatla Mamata,ITC,3,Larsen & Toubro,NSE,813435808217,2500,Sell,20025.0,147075.0,8.01,58.83,TQGAUC,lcgdppvi
03/11/2020,Adagatla Mamata,ITC,3,ITC,NSE,464130426794,7300,Sell,635903.0,572904.0,87.11,78.48,JECYNQ,xkjmyweh
03/23/2020,Viral Sanghavi,TATA Motors,1,DLF,NSE,2283616283,8900,Sell,530440.0,885995.0,59.6,99.55,KWEJZO,yiqhkihe
03/16/2020,Ruby Lobo,Gail,2,ITC,NSE,576773702465,6800,Sell,592824.0,508368.00000000006,87.18,74.76,YYBWUM,hihwnbgq
02/13/2020,Tanooj Shah,HDFC,5,Gail,NSE,134560690114,2800,Sell,237384.0,81536.0,84.78,29.12,BBVPOP,znbiwuqk
03/07/2020,Viral Sanghavi,TATA Motors,1,Eureka Forbes,NSE,785360024930,9900,Sell,852489.0,788337.0,86.11,79.63,OBMSRG,nqkuixeb
02/12/2020,Ruby Lobo,Gail,2,Karnataka Bank,BSE,766946739024,2700,Buy,33426.0,218322.0,12.38,80.86,ODVDNF,qonfemmi
03/05/2020,Tanooj Shah,HDFC,5,HDFC,NSE,806494421426,9300,Sell,728655.0,762879.0,78.35,82.03,GSEQSH,ubibllby
02/27/2020,Viral Sanghavi,TATA Motors,1,Indiabulls,BSE,367135165805,7300,Sell,186661.0,300833.0,25.57,41.21,PKZSSE,qjtfgylw
02/05/2020,Tanooj Shah,HDFC,5,Maruti Suzuki,NSE,560100733046,3700,Buy,10878.0,215155.0,2.94,58.15,HSRBVN,fkiggviw
03/06/2020,Deepak Mishra,Cadila,4,Bharat Petroleum,BSE,988272621205,6100,Sell,83814.0,93879.0,13.74,15.39,MRFHDU,lakctqqq
03/20/2020,Ruby Lobo,Gail,2,Royal Enfield,NSE,153748135509,9000,Sell,306090.0,625770.0,34.01,69.53,BKELEX,vyryjkar
02/07/2020,Adagatla Mamata,ITC,3,ONGC,NSE,54115055125,1700,Sell,91375.0,130764.0,53.75,76.92,KYPFIG,ynzrrzca
02/21/2020,Tanooj Shah,HDFC,5,Rajesh Exports,NSE,165351926797,4600,Sell,365010.0,131744.0,79.35,28.64,PMXPLU,rsfwlczl
03/28/2020,Deepak Mishra,Cadila,4,TATA Motors,BSE,47529951158,4100,Buy,127264.0,59163.0,31.04,14.43,ZAXXKA,niwjeirw
03/24/2020,Ruby Lobo,Gail,2,TATA Motors,BSE,801353583782,2400,Sell,208392.0,49896.0,86.83,20.79,FIBNZW,loaurynd
02/11/2020,Deepak Mishra,Cadila,4,Suzlon,BSE,22461697904,3100,Sell,161138.0,295337.0,51.98,95.27,WHXTOL,sbfntfwo
03/26/2020,Tanooj Shah,HDFC,5,Larsen & Toubro,BSE,224658482261,6300,Sell,486738.00000000006,262647.0,77.26,41.69,TTXGVP,dddqckvc
02/08/2020,Tanooj Shah,HDFC,5,Dabur,BSE,780907141512,2600,Buy,2184.0,230750.0,0.84,88.75,NXNVNU,leabezwr
02/18/2020,Adagatla Mamata,ITC,3,Maruti Suzuki,NSE,81698378854,100,Sell,9397.0,5890.0,93.97,58.9,WABRSD,pntdkgev
03/15/2020,Ruby Lobo,Gail,2,Maruti Suzuki,NSE,668034896800,6100,Sell,536861.0,445544.00000000006,88.01,73.04,PXRVPL,ghjcuonz
02/21/2020,Tanooj Shah,HDFC,5,Larsen & Toubro,BSE,662291056234,2500,Buy,197375.0,216050.0,78.95,86.42,KOBCLW,vrmklrqs
02/13/2020,Ruby Lobo,Gail,2,DLF,NSE,819941309287,1600,Sell,42448.0,105456.0,26.53,65.91,BYNUIT,ybpnstrs
03/06/2020,Deepak Mishra,Cadila,4,Dabur,NSE,917304882505,9900,Sell,81972.0,406197.0,8.28,41.03,CDNCTE,dgcwvswi
03/24/2020,Deepak Mishra,Cadila,4,Cadila,BSE,159416256896,7400,Sell,661634.0,133126.0,89.41,17.99,RQPANC,vacehylg
02/23/2020,Adagatla Mamata,ITC,3,Larsen & Toubro,BSE,702541334470,5700,Buy,162564.0,371925.0,28.52,65.25,AHKKCE,tslukctn
02/13/2020,Tanooj Shah,HDFC,5,Indiabulls,BSE,137338284423,6000,Sell,400140.0,514200.0,66.69,85.7,WJVKDR,manfriue
02/23/2020,Viral Sanghavi,TATA Motors,1,MRF,BSE,591646223121,5600,Sell,38416.0,527072.0,6.86,94.12,KZEJQV,zetzejsf
02/05/2020,Viral Sanghavi,TATA Motors,1,Flipkart,BSE,819009482135,6600,Sell,475002.0,265452.0,71.97,40.22,HNKFEL,mlmgqqms
03/05/2020,Adagatla Mamata,ITC,3,Haldirams,NSE,52199333588,3400,Sell,22542.0,43248.0,6.63,12.72,KBGXNS,miifclot
03/28/2020,Deepak Mishra,Cadila,4,Dabur,BSE,31673396641,6400,Sell,63616.0,107200.0,9.94,16.75,SGTXKF,zsigneze
02/26/2020,Tanooj Shah,HDFC,5,TATA Motors,BSE,713884735809,2300,Buy,150926.0,34983.0,65.62,15.21,TIILYS,pkgkmdke
03/27/2020,Ruby Lobo,Gail,2,Bharat Petroleum,BSE,672057606637,9000,Buy,835290.0,439740.0,92.81,48.86,HTUAIB,ybynqlfo
02/14/2020,Viral Sanghavi,TATA Motors,1,Flipkart,BSE,420684704036,2500,Sell,118625.0,64425.0,47.45,25.77,CCNSAX,dczcyxid
03/13/2020,Ruby Lobo,Gail,2,Bombay Dyeing,NSE,550658825764,3200,Sell,291680.0,132352.0,91.15,41.36,YXFCNI,fetxtrbh
03/24/2020,Adagatla Mamata,ITC,3,SpiceJet,BSE,525593998649,4300,Sell,116315.0,301300.99999999994,27.05,70.07,YOGMGU,otbgntpn
02/16/2020,Ruby Lobo,Gail,2,Suzlon,BSE,352386828720,200,Buy,5488.0,8888.0,27.44,44.44,UBPVHG,njuwkzyn
03/20/2020,Deepak Mishra,Cadila,4,SBIN,NSE,99871951466,900,Buy,33255.0,3357.0,36.95,3.73,KOZBXV,soehjxtg
02/28/2020,Deepak Mishra,Cadila,4,ONGC,BSE,186348934962,1300,Buy,108186.0,39962.0,83.22,30.74,AMZRVP,qroeyxfw
03/08/2020,Deepak Mishra,Cadila,4,MRF,NSE,88703270209,6300,Sell,560574.0,512504.99999999994,88.98,81.35,NYUHKY,eocisose
03/02/2020,Tanooj Shah,HDFC,5,Suzlon,NSE,546350371785,5800,Buy,1218.0,546824.0,0.21,94.28,BMFATD,upjidtcn
03/24/2020,Tanooj Shah,HDFC,5,Indiabulls,NSE,322419702134,5300,Buy,93916.0,226628.0,17.72,42.76,GSIGRY,vcxltviu
02/26/2020,Adagatla Mamata,ITC,3,Indiabulls,NSE,988834991755,3400,Sell,42636.0,47464.0,12.54,13.96,JXSGFX,atrhrtbq
02/12/2020,Adagatla Mamata,ITC,3,Suzlon,NSE,53134795434,6400,Sell,230656.0,477056.00000000006,36.04,74.54,TJOVST,ljpjmcdf
02/12/2020,Ruby Lobo,Gail,2,Dabur,NSE,711571018926,1800,Sell,92538.0,93906.0,51.41,52.17,MFDMES,wodcwrnc
03/10/2020,Ruby Lobo,Gail,2,Bharat Petroleum,NSE,961545263124,1300,Sell,75322.0,18642.0,57.94,14.34,BTQROM,urrmrxwc
03/09/2020,Ruby Lobo,Gail,2,ONGC,NSE,526096288417,1700,Sell,145282.0,92769.0,85.46,54.57,BXBDRK,dpoucbuu
03/10/2020,Viral Sanghavi,TATA Motors,1,Zomato,NSE,878643002650,9800,Buy,248038.0,815556.0,25.31,83.22,GLGYQA,lhpenbov
02/29/2020,Adagatla Mamata,ITC,3,Royal Enfield,BSE,332858624004,8500,Buy,664445.0,485010.0,78.17,57.06,IZAJUS,dkbexkdw
02/22/2020,Tanooj Shah,HDFC,5,Karnataka Bank,NSE,546181667185,5500,Buy,129250.0,285285.0,23.5,51.87,YNXLDJ,bevvsfft
02/29/2020,Adagatla Mamata,ITC,3,ITC,BSE,547688936500,7900,Sell,179567.0,134695.0,22.73,17.05,YWIQNC,ynrltgnr
03/24/2020,Adagatla Mamata,ITC,3,Flipkart,BSE,98833934898,2300,Buy,146740.0,37214.0,63.8,16.18,FKTBKX,qbmbatfd
02/07/2020,Ruby Lobo,Gail,2,Karnataka Bank,BSE,187834587687,2700,Sell,261765.0,238194.0,96.95,88.22,HPDXEB,xcogrwbm
03/12/2020,Deepak Mishra,Cadila,4,Royal Enfield,BSE,198490239574,4600,Sell,23000.0,76912.0,5.0,16.72,JHWRKP,wfgeyxhy
03/10/2020,Ruby Lobo,Gail,2,Larsen & Toubro,BSE,68767760675,300,Sell,27545.999999999996,14058.0,91.82,46.86,ZRFHSI,njwcugli
03/10/2020,Viral Sanghavi,TATA Motors,1,DLF,NSE,492350538607,4800,Sell,79776.0,262368.0,16.62,54.66,CSKBET,nxggyobc
03/06/2020,Ruby Lobo,Gail,2,Rajesh Exports,NSE,730821987140,2100,Buy,115563.0,135282.0,55.03,64.42,YZTPUM,ykcyadlk
03/30/2020,Ruby Lobo,Gail,2,Bharat Petroleum,NSE,681482053952,6400,Buy,588928.0,605120.0,92.02,94.55,KVPKXF,chfhldfk
03/17/2020,Deepak Mishra,Cadila,4,Cadila,NSE,211837606158,4200,Sell,281022.0,298704.0,66.91,71.12,AZIBTR,yxukgkns
02/25/2020,Adagatla Mamata,ITC,3,Britannia,BSE,321291723886,5700,Sell,514938.0,74442.0,90.34,13.06,GNZWPE,hhxnzuhs
02/24/2020,Adagatla Mamata,ITC,3,Indian Oil,BSE,761234865961,4700,Buy,330551.0,113693.0,70.33,24.19,UDXFGT,wrnesguh
02/15/2020,Ruby Lobo,Gail,2,Larsen & Toubro,NSE,743005441354,400,Sell,27520.0,33212.0,68.8,83.03,PEGEXD,jbalrtqw
03/23/2020,Ruby Lobo,Gail,2,ITC,BSE,548721972986,4900,Sell,396214.0,213885.0,80.86,43.65,HQUEEH,qyidqysq
02/24/2020,Viral Sanghavi,TATA Motors,1,Maruti Suzuki,BSE,474051111250,7400,Sell,328486.0,506530.0,44.39,68.45,XXZPFF,oygaaqpd
03/14/2020,Viral Sanghavi,TATA Motors,1,Maruti Suzuki,NSE,871068597794,100,Buy,3961.9999999999995,3852.0000000000005,39.62,38.52,IFYAAX,oekunvgt
02/11/2020,Adagatla Mamata,ITC,3,Cadila,NSE,689665240728,3100,Sell,288114.0,131688.0,92.94,42.48,UMXFOC,lavryynk
03/09/2020,Tanooj Shah,HDFC,5,Dabur,NSE,820461586590,6000,Buy,60900.0,174900.0,10.15,29.15,VJJVWC,vhgnsigp
03/16/2020,Viral Sanghavi,TATA Motors,1,Royal Enfield,NSE,851968039212,5200,Sell,514748.0,109096.0,98.99,20.98,YPTULH,kyjbddin
02/17/2020,Deepak Mishra,Cadila,4,Indian Oil,BSE,881361968211,7700,Sell,314622.0,201663.0,40.86,26.19,LBBNSH,xxsbwwhm
03/19/2020,Tanooj Shah,HDFC,5,Eureka Forbes,BSE,907685498025,4000,Buy,128680.0,98440.0,32.17,24.61,OHLKJO,ywlzodyu
03/05/2020,Adagatla Mamata,ITC,3,Cadila,BSE,512593185804,5100,Sell,388212.0,119187.0,76.12,23.37,WTRHXP,xmseopre
02/23/2020,Tanooj Shah,HDFC,5,Maruti Suzuki,BSE,639861905467,4300,Buy,343914.0,126076.0,79.98,29.32,WFNOGR,shbbsxpk
02/29/2020,Viral Sanghavi,TATA Motors,1,ITC,NSE,416983207583,5500,Buy,466730.0,203885.0,84.86,37.07,VEJNFH,jtzbpkhg
02/25/2020,Ruby Lobo,Gail,2,SBIN,NSE,81154300458,1200,Sell,10008.0,37956.0,8.34,31.63,DFBCAF,xalvweui
03/19/2020,Adagatla Mamata,ITC,3,Haldirams,NSE,833773224937,5800,Sell,262914.0,59972.0,45.33,10.34,CTOQMJ,almhtzve
03/05/2020,Ruby Lobo,Gail,2,Bharat Petroleum,BSE,448727192305,6400,Sell,24192.0,556864.0,3.78,87.01,PLVJMZ,eluahkys
03/12/2020,Tanooj Shah,HDFC,5,Dabur,NSE,273593918240,8300,Sell,374164.0,519663.0,45.08,62.61,MBCWSO,mvoncchy
03/14/2020,Tanooj Shah,HDFC,5,Flipkart,BSE,788273387303,5900,Sell,438075.0,55165.0,74.25,9.35,CSDXBY,xkiekfzy
02/10/2020,Deepak Mishra,Cadila,4,Bombay Dyeing,BSE,473161059758,5100,Sell,364854.00000000006,288048.0,71.54,56.48,RAKNRP,ipjyvufy
03/18/2020,Deepak Mishra,Cadila,4,Haldirams,NSE,542886938673,7600,Buy,348992.0,151620.0,45.92,19.95,CKWQSF,truxavwh
03/20/2020,Adagatla Mamata,ITC,3,Reliance,NSE,347990476756,9700,Sell,474136.0,227077.0,48.88,23.41,INAQYO,lvskobpz
02/27/2020,Ruby Lobo,Gail,2,Cadila,BSE,538116128581,8500,Sell,636225.0,732700.0,74.85,86.2,UYGXGB,jhmiloxk
02/07/2020,Deepak Mishra,Cadila,4,TATA Motors,NSE,704108730711,600,Buy,36972.0,34470.0,61.62,57.45,GFQZGU,nlvzjpsz
03/26/2020,Tanooj Shah,HDFC,5,Britannia,BSE,128473996448,2600,Buy,25740.0,31928.0,9.9,12.28,VAOKGV,guotawyr
03/01/2020,Deepak Mishra,Cadila,4,Haldirams,NSE,167171518337,5100,Sell,210732.0,459816.0,41.32,90.16,ODDRMA,svccnobd
03/01/2020,Viral Sanghavi,TATA Motors,1,SpiceJet,NSE,791524722687,300,Sell,2724.0,6060.0,9.08,20.2,ACNFQM,xkwiyfwm
03/18/2020,Viral Sanghavi,TATA Motors,1,Cadila,BSE,519030373455,3700,Sell,87653.0,191401.0,23.69,51.73,CCVDOM,wxfyentv
02/13/2020,Adagatla Mamata,ITC,3,Indiabulls,NSE,440172754911,7500,Sell,735750.0,497325.0,98.1,66.31,QUTHIX,wsyylcht
03/22/2020,Viral Sanghavi,TATA Motors,1,Indian Oil,BSE,409785912730,2600,Buy,22022.0,51662.0,8.47,19.87,DZDBAE,vxlbxavb
02/04/2020,Viral Sanghavi,TATA Motors,1,Maruti Suzuki,NSE,582849413932,3600,Buy,234900.0,236628.0,65.25,65.73,HNOIYF,itoartgp
03/03/2020,Deepak Mishra,Cadila,4,Bombay Dyeing,BSE,676727828144,8700,Sell,395502.0,759945.0,45.46,87.35,RSZIXF,gawfvkbo
03/22/2020,Ruby Lobo,Gail,2,HDFC,NSE,617545134874,8700,Sell,790656.0,817104.0,90.88,93.92,APBDTT,unwrpjcb
02/27/2020,Viral Sanghavi,TATA Motors,1,Maruti Suzuki,NSE,308351349701,1000,Buy,66460.0,99970.0,66.46,99.97,PKJNYY,qmenfqui
02/27/2020,Adagatla Mamata,ITC,3,Royal Enfield,BSE,247976408375,3500,Buy,15855.0,221935.0,4.53,63.41,WHJWLO,thqkhsfe
02/01/2020,Tanooj Shah,HDFC,5,Haldirams,NSE,141125994414,6300,Sell,134694.0,562086.0,21.38,89.22,CECVSY,jlvmqqqc
03/22/2020,Ruby Lobo,Gail,2,Bombay Dyeing,NSE,619797839726,6100,Buy,496905.99999999994,276330.0,81.46,45.3,EPUHWQ,devirkmt
02/25/2020,Adagatla Mamata,ITC,3,Reliance,NSE,855409550008,2600,Buy,146744.0,67470.0,56.44,25.95,TZRCNW,mbxirhru
03/07/2020,Adagatla Mamata,ITC,3,Dabur,NSE,749409441619,9000,Sell,66060.0,202590.0,7.34,22.51,RTDEBN,jeuuarnl
